Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time
,CC(C)(C(=O)NC=1C=CC=C(CN2CCCC2)C1)N3C=NN=N3,C-1972-30,Z3295389817,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-31,Z2621742909,sRDB,83.2,5-6 weeks
,CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCC(CN)C3)=NO1,C-1972-32,Z2440040050,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-33,Z2621693915,sRDB,83.2,5-6 weeks
,Cl.CC(C)(O)CCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2,C-1972-34,Z8740336516,sRDB,83.2,5-6 weeks
Cl.O[C@H](CN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2)C4=CC=CO4,OC(CN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2)C4=CC=CO4,C-1972-35,Z8740828249,sRDB,83.2,5-6 weeks
,Cl.O[C@@H]1CCN(C1)C=2C=CC=CC2CNC(=O)NCC=3C=CC=CC3CN4CCCCCCC4,C-1972-36,Z8740336524,sRDB,83.2,5-6 weeks
,Cl.CN1CCN(CC=2C=CC(NC(=O)N(CCC(C)(C)O)CC=3C=CC=CC3)=CC2C(F)(F)F)CC1,C-1972-37,Z8740336533,sRDB,83.2,5-6 weeks
,Cl.CC=1C=CC(OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2)=NN1,C-1972-38,Z8740336534,sRDB,83.2,5-6 weeks
,Cl.CC(C)C=1C=CC(CN(C2CC2)C(=O)CNC=3C=CC=CC3CN4CCC(CO)CC4)=CC1,C-1972-39,Z8740336535,sRDB,83.2,5-6 weeks
,Cl.O=C(CC=1C=CC=C(OC2=NC=NS2)C1)NC=3C=CC(CCN4CCCC4)=CC3,C-1972-40,Z8740336536,sRDB,83.2,5-6 weeks
,Cl.CC(C)(C)OC(=O)N1CC(C1)OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2,C-1972-41,Z8740336537,sRDB,83.2,5-6 weeks
,Cl.CC(C)(O)CCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F,C-1972-42,Z8740336538,sRDB,83.2,5-6 weeks
,Cl.COCCCCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2,C-1972-43,Z8740336539,sRDB,83.2,5-6 weeks
,Cl.COCCCCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F,C-1972-44,Z8740336540,sRDB,83.2,5-6 weeks
Cl.COCCCSC=1C=CC(NC(=O)NCC=2C=CC=CC2CN3CCC[C@@H](C)C3)=CC1,COCCCSC=1C=CC(NC(=O)NCC=2C=CC=CC2CN3CCCC(C)C3)=CC1,C-1972-45,Z8740837649,sRDB,83.2,5-6 weeks
Cl.COC(=O)CN1CCN(CC1)C=2C=CC(NC(=O)NCC=3C=CC=CC3CN4CCCC[C@H]4C)=CC2,COC(=O)CN1CCN(CC1)C=2C=CC(NC(=O)NCC=3C=CC=CC3CN4CCCCC4C)=CC2,C-1972-46,Z1122775589,sRDB,83.2,5-6 weeks
,Cl.CC1CCN(CCC=2C=CC=C(NC(=O)N(CCC(C)(C)O)CC=3C=CC=CC3)C2)CC1,C-1972-47,Z8740336545,sRDB,83.2,5-6 weeks
Cl.CCN1C=C(C=N1)[C@@H](O)CN(CC=2C=CC=CC2)C(=O)NC=3C=CC(CN4CCCC4)=C(C3)C(F)(F)F,CCN1C=C(C=N1)C(O)CN(CC=2C=CC=CC2)C(=O)NC=3C=CC(CN4CCCC4)=C(C3)C(F)(F)F,C-1972-48,Z8740843347,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCN(CCOC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCOCC4)C3)=CC2)C1,CC1CCN(CCOC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCOCC4)C3)=CC2)C1,C-1972-49,Z8740845181,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC=4N(CC5CC5)C(=O)CCC4C3,CC1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC=4N(CC5CC5)C(=O)CCC4C3,C-1972-50,Z8740846898,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(N4CCNC(=O)C4)=C(Cl)C3)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(N4CCNC(=O)C4)=C(Cl)C3)C1,C-1972-51,Z436054968,sRDB,83.2,5-6 weeks
,Cl.O=C(CC=1C=CC(=CC1)N2CCOCC2)NCC=3C=CC=CC3CN4CCCCCC4,C-1972-52,Z8740336551,sRDB,83.2,5-6 weeks
,Cl.CC1CCN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(SC4=NN=CN4C)=C(Cl)C3)CC1,C-1972-53,Z8740336552,sRDB,83.2,5-6 weeks
,Cl.CN(CCN1CCCC1)C=2C=CC(NC(=O)COC=3C=CC=C(C3)N4CCCC4=O)=CC2,C-1972-54,Z8740336553,sRDB,83.2,5-6 weeks
,Cl.BrC=1C=C(NC(=O)NCC=2C=CC(CN3CCCC3)=CC2)C=C4OCCCOC14,C-1972-55,Z8740336554,sRDB,83.2,5-6 weeks
Cl.FC=1C=CC=C(CN(C[C@H]2CCCO2)C(=O)NCC=3C=CC=CC3CN4CCCCCC4)C1,FC=1C=CC=C(CN(CC2CCCO2)C(=O)NCC=3C=CC=CC3CN4CCCCCC4)C1,C-1972-56,Z8740856502,sRDB,83.2,5-6 weeks
,Cl.O=C(NCC=1C=CC=CC1CN2CCCCCCC2)NC=3C=CC(OC=4C=CC=NN4)=CC3,C-1972-57,Z8740336559,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC=4N(CC5CCC5)C(=O)CCC4C3,CC1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC=4N(CC5CCC5)C(=O)CCC4C3,C-1972-58,Z8740858317,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCCN(CC=2C=CC=CC2CNC(=O)NCC=3C=CC(C4CC4)=C(F)C3)C1,CC1CCCN(CC=2C=CC=CC2CNC(=O)NCC=3C=CC(C4CC4)=C(F)C3)C1,C-1972-59,Z8740858988,sRDB,83.2,5-6 weeks
,Cl.CC(C)(C)OC(=O)N1CC(C1)OC=2C=CC(NC(=O)NCC=3C=CC=CC3CN4CCCCCC4)=CC2,C-1972-60,Z8740336571,sRDB,83.2,5-6 weeks
Cl.Cl.C[C@@H]1CCCN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC(O)C4)C1,CC1CCCN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC(O)C4)C1,C-1972-61,Z8740860669,sRDB,83.2,5-6 weeks
,Cl.CC(=O)CCC=1C=CC(OCC(=O)NC=2C=CC=C(CN3CCC(CO)CC3)C2)=CC1,C-1972-62,Z8740336578,sRDB,83.2,5-6 weeks
,Cl.CN(CC=1C=NN(C)C1)C=2C=CC(NC(=O)NCC=3C=CC=CC3CN4CCCCCC4)=CC2,C-1972-63,Z8740336595,sRDB,83.2,5-6 weeks
,CCN(CC)CCNC(=O)C=1C=CC(NC(=O)C2C=3C=CC=CC3OC=4C=CC=CC24)=CC1,C-1972-64,Z26393337,HTS,12.7,2-3 weeks
Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)NCC=3C=CC(=CC3)N4CCCNC4=O)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)NCC=3C=CC(=CC3)N4CCCNC4=O)C1,C-1972-65,Z8740865280,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCCCN1CC=2C=CC=CC2CN3CCC(=O)N(CC=4C=CC=5OCCCOC5C4)C3=O,CC1CCCCN1CC=2C=CC=CC2CN3CCC(=O)N(CC=4C=CC=5OCCCOC5C4)C3=O,C-1972-66,Z8740867832,mRDB,125.2,5-6 weeks
Cl.C[C@@H]1CCCN(CC=2C=CC=CC2CNC(=O)N(CC3CC3)CC=4C=CC=C(O)C4)C1,CC1CCCN(CC=2C=CC=CC2CNC(=O)N(CC3CC3)CC=4C=CC=C(O)C4)C1,C-1972-67,Z8740869342,sRDB,83.2,5-6 weeks
,Cl.CC(=O)CCC=1C=CC(OCC(=O)NCC=2C=CC=CC2CN3CCCCCC3)=CC1,C-1972-68,Z8740336613,sRDB,83.2,5-6 weeks
,CC1(C)N(C(=O)COC(=O)C2=NN(CC=3C=CC=CC3)C(=O)C=4C=CC=CC24)C=5C=CC=CC5NC1=O,C-1972-69,Z15497168,HTS,12.7,2-3 weeks
,FC=1C=CC=CC1CC(=O)N2CCN(CC2)C(=O)NCC=3C=CC=CC3COCC=4C=CC=CC4,C-1972-70,Z885889506,HTS,12.7,2-3 weeks
,CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=C(C=CC2C)C(=O)NCC(N3CCCCC3)C4=CC=CO4,C-1972-71,Z26996491,HTS,12.7,2-3 weeks
Cl.Cl.C[C@@H]1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC[C@@H](O)C4,CC1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC[C@@H](O)C4,C-1972-72,Z8740870965,sRDB,83.2,5-6 weeks
,COC=1C=CC=CC1C(CNC(=O)C=2C=CC=3C(=O)N4CCCCCC4=NC3C2)N5CCCC5,C-1972-73,Z28475766,HTS,12.7,2-3 weeks
Cl.CC(C)CN(CC=1C=CC=C(F)C1)C(=O)NCC=2C=CC=CC2CN3C[C@H](C)C[C@@H](C)C3,CC(C)CN(CC=1C=CC=C(F)C1)C(=O)NCC=2C=CC=CC2CN3CC(C)CC(C)C3,C-1972-74,Z8740872177,sRDB,83.2,5-6 weeks
Cl.FC=1C=CC=C(C1)[C@H](NC(=O)NCC=2C=CC=CC2CN3CCCCCC3)C4CC4,FC=1C=CC=C(C1)C(NC(=O)NCC=2C=CC=CC2CN3CCCCCC3)C4CC4,C-1972-75,Z8740873043,sRDB,83.2,5-6 weeks
,CC=1N=C(NC(=O)CCCC2=NC=3C=CC=CC3C(=O)N2)SC1CC=4C=CC=5OCOC5C4,C-1972-76,Z29000042,HTS,12.7,2-3 weeks
,O=C(C=CC=1C=CC=CC1)N=C2N=C3N=CC=CN3CC=4C=CC=CC24,C-1972-77,Z56786272,HTS,12.7,2-3 weeks
,Cl.OC=1C=CC=C(CN(CC2CC2)C(=O)NC=3C=CC(CN4CCCC4)=C(C3)C(F)(F)F)C1,C-1972-78,Z8740336617,sRDB,83.2,5-6 weeks
,CC1CCCN(CC=2C=CC(CNC(=O)CCCOC=3C=CC=4NC(=O)CCC4C3)=CC2)C1,C-1972-79,Z421504842,HTS,12.7,2-3 weeks
Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)N[C@H](C=3C=CC=CC3)C4(CO)CCCC4)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)NC(C=3C=CC=CC3)C4(CO)CCCC4)C1,C-1972-80,Z8740874307,sRDB,83.2,5-6 weeks
,CN1CCC=2N=C(C=CC=3C=CC=C(OCC=4C=CC=C(C#N)C4)C3)NC(=O)C2C1,C-1972-81,Z2026306780,HTS,12.7,2-3 weeks
,CCC1=NOC=2N=CC(=CC12)C(=O)NCC=3C=CC=CC3CN4CCCCC4C,C-1972-82,Z759571834,HTS,12.7,2-3 weeks
,CN1CCN(CC1)C(C2=NC(=NO2)C=3C=CC(OC=4C=CC(F)=CC4)=NC3)C=5C=CC=CC5,C-1972-83,Z1908278290,HTS,12.7,2-3 weeks
,OCC1(CC1)C=2C=CC=C(NC(=O)C=3C=CC=C(C3)C4(F)CNC4)C2,C-1972-84,Z6408882039,mRDB,125.2,5-6 weeks
Cl.C[C@@H]1CCCN(CC=2C=CC=CC2CNC(=O)N[C@H](C3CCCC3)C=4C=CC=CC4F)C1,CC1CCCN(CC=2C=CC=CC2CNC(=O)NC(C3CCCC3)C=4C=CC=CC4F)C1,C-1972-85,Z8740874804,sRDB,83.2,5-6 weeks
Cl.COC=1C=CC=CC1[C@@H](CC(C)C)NC(=O)NCC=2C=CC=CC2CN3CCC[C@@H](C)C3,COC=1C=CC=CC1C(CC(C)C)NC(=O)NCC=2C=CC=CC2CN3CCCC(C)C3,C-1972-86,Z8740875786,sRDB,83.2,5-6 weeks
,Cl.CC1CCN(CC=2C=CC(NC(=O)C(=O)N(CC=3C=CC=C(F)C3)C4CCC4)=CC2)CC1,C-1972-88,Z8740336624,sRDB,83.2,5-6 weeks
,CC=1C=CC2=NC(COC(=O)C3C=4C=CC=CC4OC=5C=CC=CC35)=CC(=O)N2C1,C-1972-89,Z54071732,HTS,12.7,2-3 weeks
,FC=1C=CC=2SCCC(NC(=O)C=3C=CC(NS(=O)(=O)C=4C=CC=5NC(=O)NC5C4)=CC3)C2C1,C-1972-90,Z131483750,HTS,12.7,2-3 weeks
Cl.Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC(O)C4)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)NC=3C=CC(=CC3)N4CC(O)C4)C1,C-1972-91,Z8740878663,sRDB,83.2,5-6 weeks
,Cl.CCN(CC=1C=CC=C(NC(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F)C1)C(=O)C,C-1972-92,Z8740336626,sRDB,83.2,5-6 weeks
,CC(C)CN1N=C(C(=O)NC(CN2CCCC2=O)C=3C=CC=CC3)C=4C=CC=CC4C1=O,C-1972-93,Z437056864,HTS,12.7,2-3 weeks
,CC1=CC(=O)OC=2C=C(NC(=O)N(CC3CCCO3)CC=4C=CC=NC4)C=CC12,C-1972-94,Z603291104,HTS,12.7,2-3 weeks
,FC=1C=C(C(=O)N=C2N=C3N=CC=CN3CC=4C=CC=CC24)C(F)=C(F)C1F,C-1972-95,Z56781845,HTS,12.7,2-3 weeks
Cl.C[C@@H]1C[C@@H](C)CN(CC=2C=CC=CC2CNC(=O)N(CC3CC3)CC=4C=CC=CC4F)C1,CC1CC(C)CN(CC=2C=CC=CC2CNC(=O)N(CC3CC3)CC=4C=CC=CC4F)C1,C-1972-96,Z8740881951,sRDB,83.2,5-6 weeks
,CC=1C=CC(=CC1)C2=NN=C(O2)C=3C=CC(=CC3)C(=O)NCC=4C=CC=CC4CN5CCCC5,C-1972-97,Z147088942,HTS,12.7,2-3 weeks
,CC1CCCCN1CC=2C=CC=CC2CNC(=O)C=3NC=4CCCC(=O)C4C3C,C-1972-98,Z424508008,HTS,12.7,2-3 weeks
,FC=1C=CC(=CC1)C2=CN=C(CN3CCCC3CN4C=NC=5C=CC=CC45)O2,C-1972-99,Z1523151619,HTS,12.7,2-3 weeks